City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Denpasar,ID,-8.65,115.2167,82.06,78,20,5.75,few clouds
206,Alofi,NU,-19.0595,-169.9187,71.49,100,100,1.14,overcast clouds
207,Alice Springs,AU,-23.7,133.8833,80.15,54,98,4.61,overcast clouds
208,Olinda,BR,-8.0089,-34.8553,85.73,58,40,6.91,scattered clouds
209,Nantucket,US,41.2835,-70.0995,46.51,98,100,8.05,mist
210,Lethem,GY,3.3803,-59.7968,83.26,59,96,13.06,overcast clouds
211,Verkhnevilyuysk,RU,63.4453,120.3167,-16.28,98,100,3.2,overcast clouds
212,Isabela,PH,6.7085,121.9711,82.45,81,100,3.29,overcast clouds
213,Portland,US,45.5234,-122.6762,42.8,95,100,4.61,fog
214,Tiksi,RU,71.6872,128.8694,-24.95,99,62,5.73,broken clouds
215,Iqaluit,CA,63.7506,-68.5145,-2.31,64,100,13.8,light snow
216,Mar Del Plata,AR,-38.0023,-57.5575,64.87,77,20,3.0,few clouds
217,Sambava,MG,-14.2667,50.1667,82.56,77,100,5.77,light rain
218,Sotouboua,TG,8.5667,0.9833,89.64,9,6,5.61,clear sky
219,Ondjiva,AO,-17.0667,15.7333,81.25,44,100,4.47,overcast clouds
220,Ukiah,US,39.1502,-123.2078,56.37,81,0,0.0,clear sky
221,Suntar,RU,62.1444,117.6319,-10.01,98,100,4.12,overcast clouds
222,Luxeuil-Les-Bains,FR,47.8171,6.365,52.32,57,0,5.75,clear sky
223,Aksarayskiy,RU,46.7924,48.0119,42.75,66,100,10.07,overcast clouds
224,Palmer,US,42.1584,-72.3287,37.38,86,100,8.05,mist
225,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,93,40,32.21,scattered clouds
226,Pangody,RU,65.85,74.4859,-2.38,86,100,15.1,overcast clouds
227,Ambon,ID,-3.6954,128.1814,78.94,89,40,6.91,scattered clouds
228,Szczytno,PL,53.5626,20.9875,37.33,87,75,16.11,moderate rain
229,Praia,CV,14.9215,-23.5087,79.34,57,20,5.75,few clouds
230,Junnar,IN,19.2,73.8833,73.06,44,3,9.66,clear sky
231,Cooma,AU,-36.2333,149.1333,53.37,93,40,2.3,scattered clouds
232,Nishihara,JP,26.1842,127.7558,65.48,77,40,13.8,scattered clouds
233,Meulaboh,ID,4.1363,96.1285,78.57,81,83,1.14,broken clouds
234,Mahajanga,MG,-15.7167,46.3167,78.82,94,40,11.5,light rain
235,Bakchar,RU,57.0186,82.0711,-4.11,100,18,4.99,few clouds
236,Thoen,TH,17.6129,99.2161,75.51,30,20,1.3,few clouds
237,Ust-Kut,RU,56.7938,105.7672,-1.19,99,100,3.38,overcast clouds
238,Beringovskiy,RU,63.05,179.3167,-23.4,94,7,11.68,clear sky
239,Rio Grande,BR,-32.035,-52.0986,71.94,61,100,10.85,overcast clouds
240,Litovko,RU,49.2361,135.1742,-13.22,100,88,2.26,overcast clouds
241,Roebourne,AU,-20.7833,117.1333,84.4,73,63,5.66,broken clouds
242,Lake City,US,30.1897,-82.6393,47.95,92,100,2.46,moderate rain
243,Ust-Ishim,RU,57.6935,71.1665,6.96,98,83,5.03,broken clouds
244,Flinders,AU,-34.5833,150.8552,65.8,82,4,4.88,clear sky
245,Aksarka,RU,66.5606,67.7975,-4.45,99,100,8.97,overcast clouds
246,Kayerkan,RU,69.3497,87.7602,-4.49,83,100,8.41,overcast clouds
247,Okhotsk,RU,59.3833,143.3,6.78,82,100,7.99,overcast clouds
248,Padang,ID,-0.9492,100.3543,80.65,80,85,3.09,overcast clouds
249,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,82,40,5.41,scattered clouds
250,Ust-Maya,RU,60.4167,134.5333,-11.61,98,100,1.45,overcast clouds
251,Kijang,KR,35.2442,129.2139,40.73,40,95,8.39,overcast clouds
252,Cayenne,GF,4.9333,-52.3333,83.08,81,75,8.05,broken clouds
253,Chicama,PE,-7.8447,-79.1469,64.94,72,68,3.15,broken clouds
254,Yulara,AU,-25.2406,130.9889,82.24,61,75,11.5,broken clouds
255,Cherskiy,RU,68.75,161.3,-38.99,100,88,3.33,overcast clouds
256,Camacha,PT,33.0833,-16.3333,63.82,72,40,17.27,scattered clouds
257,Preobrazheniye,RU,42.9019,133.9064,22.28,62,2,7.94,clear sky
258,Praya,CV,14.9215,-23.5087,79.34,57,20,5.75,few clouds
259,Belmonte,BR,-15.8631,-38.8828,84.7,63,72,5.88,broken clouds
260,Yar-Sale,RU,66.8333,70.8333,3.16,88,100,16.08,overcast clouds
261,Karabanovo,RU,56.3167,38.7,32.11,94,100,7.76,overcast clouds
262,Olpad,IN,21.3333,72.75,80.58,51,0,6.06,clear sky
263,Aykhal,RU,66.0,111.5,-26.64,100,96,6.76,overcast clouds
264,Necochea,AR,-38.5473,-58.7368,64.04,59,0,8.01,clear sky
265,Kozhevnikovo,RU,56.2589,83.9714,-1.17,98,63,5.68,broken clouds
266,Clyde River,CA,70.4692,-68.5914,-25.37,68,100,2.3,overcast clouds
267,Lasem,ID,-6.6922,111.4527,78.78,88,88,7.58,overcast clouds
268,Lompoc,US,34.6391,-120.4579,56.93,77,0,11.99,clear sky
