City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Tabou,CI,84.18,light rain,4.42,-7.35,hotêl doufoulougou
429,Viedma,AR,78.76,overcast clouds,-40.81,-63.0,Hotel Cristal
430,Coari,BR,78.31,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
432,Samarai,PG,81.79,broken clouds,-10.62,150.67,Nuli Sapi
447,Garowe,SO,87.94,clear sky,8.41,48.48,Curubo Hotel
448,Touros,BR,88.7,scattered clouds,-5.2,-35.46,INN NEW HORIZON
449,Alugan,PH,79.5,few clouds,12.22,125.48,JM Lodge
450,Souillac,MU,84.36,broken clouds,-20.52,57.52,Bils' Villa
453,Butembo,CD,76.26,overcast clouds,0.15,29.28,Hotel Butembo
455,Msowero,TZ,84.51,light rain,-6.53,37.2,Sagumo House
457,Barra Do Bugres,BR,77.63,overcast clouds,-15.07,-57.18,Hotel 4AM Petrofurt
458,Ankazoabo,MG,78.66,light rain,-22.28,44.52,ENCEIN BUREAU CISCO
465,Port Moresby,PG,80.02,few clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
468,Anori,BR,81.01,overcast clouds,-3.77,-61.64,Novo Hotel 5 Irmãos
469,Santa Isabel Do Rio Negro,BR,75.74,overcast clouds,-0.41,-65.02,Hotel GSA
476,Broken Hill,AU,82.11,broken clouds,-31.95,141.43,Daydream Motel & Cottages
480,Gondanglegi,ID,75.96,overcast clouds,-7.75,112.01,Hotel Mitra Inn
486,Japura,ID,75.15,light rain,-0.32,102.35,Rumah mbah Jamah
488,Sibolga,ID,76.98,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
500,Ciudad Bolivar,VE,80.24,overcast clouds,8.12,-63.55,Hotel Edi
502,Tamandare,BR,85.44,scattered clouds,-8.76,-35.1,Pousada 100 Passos
506,Kieta,PG,80.1,moderate rain,-6.22,155.63,Uruna Bay Retreat
512,Port-Gentil,GA,87.76,scattered clouds,-0.72,8.78,Fengshui Residence
513,Quatre Cocos,MU,84.09,few clouds,-20.21,57.76,Sunrise Attitude Hotel
517,Cockburn Town,TC,76.86,clear sky,21.46,-71.14,Osprey Beach Hotel
521,Fuerte Olimpo,PY,82.63,clear sky,-21.04,-57.87,Hotel Fuerte Olimpo
522,Vao,NC,80.06,light rain,-22.67,167.48,Hotel Kou-Bugny
525,Port Blair,IN,80.64,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
527,Tiarei,PF,78.82,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
529,Bulawayo,ZW,83.37,clear sky,-20.15,28.58,4 On Housman Backpackers
533,Buala,SB,80.26,light rain,-8.14,159.59,Maringe Lagoon Lodge
536,Weligama,LK,77.76,overcast clouds,5.97,80.42,Weligama Bay Resort
539,Sao Domingos,BR,80.29,overcast clouds,-13.4,-46.32,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
541,Karaton,ID,78.96,overcast clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
544,Porbandar,IN,76.98,clear sky,21.64,69.61,Lords Inn Porbandar
549,La Romana,DO,76.73,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
551,Kokoda,PG,75.85,overcast clouds,-8.88,147.74,Daito Guest House
553,Takoradi,GH,84.83,scattered clouds,4.88,-1.76,Raybow International Hotel
565,Balikpapan,ID,77.99,scattered clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
578,Oranjestad,AW,78.75,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
580,Liwale,TZ,82.71,overcast clouds,-9.77,37.93,Samoma lodge
583,Kavaratti,IN,79.57,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
591,Mabaruma,GY,80.96,overcast clouds,8.2,-59.78,Monty Brooms Guest House
592,Cap Malheureux,MU,84.47,few clouds,-19.98,57.61,Pereybere Hotel & Spa
593,Kaeo,NZ,75.33,broken clouds,-35.1,173.78,Bushido Lodge
595,Anakan,PH,76.42,light rain,8.85,125.15,Anakan Gingoog City
602,Tra Vinh,VN,78.48,overcast clouds,9.93,106.35,Hồng Ân
604,Sao Felix Do Xingu,BR,81.01,overcast clouds,-6.64,-52.0,Rio Xingu Camping
607,Bom Jesus,BR,84.56,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
614,Itarema,BR,81.81,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
615,Januaria,BR,78.49,overcast clouds,-15.48,-44.37,Hotel Paraguassu
625,Boa Vista,BR,82.38,broken clouds,2.82,-60.67,Aipana Plaza Hotel
628,Moindou,NC,78.75,overcast clouds,-21.69,165.68,Gite de la RYAWA
630,Bac Lieu,VN,79.14,few clouds,9.28,105.72,Khách sạn Sài Gòn Bạc Liêu
631,Saint-Pierre,RE,83.88,broken clouds,-21.34,55.48,Lindsey Hôtel
633,Maputo,MZ,85.68,scattered clouds,-25.97,32.59,Pestana Rovuma
646,Presidencia Roque Saenz Pena,AR,80.08,clear sky,-26.79,-60.44,Hotel Aconcagua
649,Soyo,AO,83.41,few clouds,-6.13,12.37,Hotel Mpampa
651,Coruripe,BR,83.68,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
656,Anjangaon,IN,79.12,clear sky,21.16,77.31,Home
657,Bandarbeyla,SO,77.97,clear sky,9.49,50.81,JABIR HOTEL
659,Vila Velha,BR,82.94,overcast clouds,-20.33,-40.29,Quality Suites Vila Velha
669,Villa Carlos Paz,AR,78.06,clear sky,-31.42,-64.5,Monte Carlo vcp
